schema_shift,workflow_shift,layer,mode,roc_auc_mean,balanced_accuracy_mean,brier_mean
0.3,0.6,raw_schema,values_only,0.84517893420847,0.7637755899359274,0.1605060674839534
0.3,0.6,raw_schema,values_plus_missingness,0.9976558837318331,0.9732067510548523,0.018514704142356578
0.3,0.6,alias_collapsed,mask_only,0.9783012970776686,0.9244335052351931,0.055433629229785085
0.3,0.6,alias_collapsed,values_only,0.8505078918581027,0.7731286138459134,0.1569710039163354
0.3,0.6,alias_collapsed,values_plus_missingness,0.9905922800437569,0.9450695421159556,0.03779471829757077
0.6,0.0,raw_schema,mask_only,0.998851461165807,0.9749903305203936,0.01587794886038222
0.6,0.0,raw_schema,values_only,0.8776756207024535,0.7918863298952962,0.14239118317419197
0.6,0.0,raw_schema,values_plus_missingness,0.9996249804656976,0.9843661118924834,0.010116875912568801
0.6,0.0,alias_collapsed,mask_only,0.5372842619452258,0.5237521487732459,0.2510317412018267
0.6,0.0,alias_collapsed,values_only,0.8984904110993904,0.818803426316612,0.12913026722569243
0.6,0.0,alias_collapsed,values_plus_missingness,0.8938180794850759,0.8119743319268636,0.13194776256171942
0.6,0.3,raw_schema,mask_only,0.9987226743328911,0.9842307975821909,0.01539170207280719
0.6,0.3,raw_schema,values_only,0.8256299572460563,0.7431665192392746,0.1704156095443313
0.6,0.3,raw_schema,values_plus_missingness,0.9989655683325962,0.9847322718561109,0.012029211004380438
0.6,0.3,alias_collapsed,mask_only,0.8522764042459089,0.7764028453486659,0.15759836347704925
0.6,0.3,alias_collapsed,values_only,0.8450220035382575,0.7679857732566712,0.16082391973657273
0.6,0.3,alias_collapsed,values_plus_missingness,0.9222396211116026,0.833700501253133,0.1138404766172216
0.6,0.6,raw_schema,mask_only,0.9996406054656978,0.9925073253633381,0.00866275921534395
0.6,0.6,raw_schema,values_only,0.8017780414908579,0.7281304696046258,0.18203255011403208
0.6,0.6,raw_schema,values_plus_missingness,0.9998124829074856,0.9906398460696983,0.0060338264635222405
0.6,0.6,alias_collapsed,mask_only,0.9765132955344585,0.9219528441944054,0.05644604102478314
0.6,0.6,alias_collapsed,values_only,0.8204513473784966,0.7282934833567745,0.17364092900963973
0.6,0.6,alias_collapsed,values_plus_missingness,0.9829044259845288,0.9412051687763713,0.048718353050833954
0.9,0.0,raw_schema,mask_only,1.0,0.999390243902439,0.0014393094457862304
0.9,0.0,raw_schema,values_only,0.837372772687201,0.7612408675661688,0.16456695944646949
0.9,0.0,raw_schema,values_plus_missingness,1.0,1.0,0.0006637517373492338
0.9,0.0,alias_collapsed,mask_only,0.5121770151192719,0.5045336923826491,0.2534167563710665
0.9,0.0,alias_collapsed,values_only,0.8762638111227592,0.8059990186128887,0.1427983203802326
0.9,0.0,alias_collapsed,values_plus_missingness,0.8707095651923744,0.7990815629663706,0.14620065418207037
0.9,0.3,raw_schema,mask_only,1.0,1.0,0.0011583066421898241
0.9,0.3,raw_schema,values_only,0.8155256045866542,0.7363041100171903,0.17592419371357998
0.9,0.3,raw_schema,values_plus_missingness,1.0,1.0,0.0005260953636272321
0.9,0.3,alias_collapsed,mask_only,0.8664877983864667,0.7874615174245976,0.14873416567693398
0.9,0.3,alias_collapsed,values_only,0.8614022503516173,0.7781648499765589,0.15189539742269592
0.9,0.3,alias_collapsed,values_plus_missingness,0.9396077658618534,0.8632073370839194,0.09899659010656882
0.9,0.6,raw_schema,mask_only,1.0,0.9988023522662075,0.0015647540818411166
0.9,0.6,raw_schema,values_only,0.8194806910485415,0.7470387359417162,0.17293576006327255
0.9,0.6,raw_schema,values_plus_missingness,1.0,1.0,0.0008758775721499823
0.9,0.6,alias_collapsed,mask_only,0.9803452789284274,0.9227368119092911,0.0547495002646212
0.9,0.6,alias_collapsed,values_only,0.8457315934963366,0.7618914139126568,0.16010647870425063
0.9,0.6,alias_collapsed,values_plus_missingness,0.9876959821514356,0.9445234801132075,0.042870574820591326
